date,time,conversation
2020-05-21,15:38:14,jarvis : hello good evening how are you
2020-05-21,15:38:18,jarvis : mail sent
2020-05-21,15:38:34,user : that is it
2020-05-21,15:38:37,jarvis : Alright. Have a nice day
2020-05-21,15:41:19,jarvis : Good Afternoon
2020-05-21,15:41:21,jarvis : jarvis here
2020-05-21,15:41:24,jarvis : What would you like me to do for you?
2020-05-21,15:41:32,user : show conversation
2020-05-21,15:41:41,user : that is it
2020-05-21,15:41:44,jarvis : Alright. Have a nice day
2020-05-21,15:47:41,jarvis : Good Afternoon
2020-05-21,15:47:43,jarvis : jarvis here
2020-05-21,15:47:46,jarvis : What would you like me to do for you?
2020-05-21,15:47:55,user : so conversation
2020-05-21,15:49:09,jarvis : Good Afternoon
2020-05-21,15:49:11,jarvis : jarvis here
2020-05-21,15:49:14,jarvis : What would you like me to do for you?
2020-05-21,15:49:20,user : so conversation
2020-05-21,15:49:31,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,15:50:36,jarvis : Good Afternoon
2020-05-21,15:50:37,jarvis : jarvis here
2020-05-21,15:50:41,jarvis : What would you like me to do for you?
2020-05-21,15:50:47,user : show conversation
2020-05-21,15:58:05,jarvis : Good Afternoon
2020-05-21,15:58:06,jarvis : jarvis here
2020-05-21,15:58:09,jarvis : What would you like me to do for you?
2020-05-21,15:58:16,user : show conversation
2020-05-21,16:00:59,jarvis : Good Afternoon
2020-05-21,16:01:01,jarvis : jarvis here
2020-05-21,16:01:04,jarvis : What would you like me to do for you?
2020-05-21,16:01:10,user : show conversation
2020-05-21,16:01:18,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:02:35,jarvis : Good Afternoon
2020-05-21,16:02:37,jarvis : jarvis here
2020-05-21,16:02:40,jarvis : What would you like me to do for you?
2020-05-21,16:02:45,user : show conversation
2020-05-21,16:03:14,jarvis : Good Afternoon
2020-05-21,16:03:16,jarvis : jarvis here
2020-05-21,16:03:19,jarvis : What would you like me to do for you?
2020-05-21,16:03:27,user : show conversation
2020-05-21,16:12:07,jarvis : Good Afternoon
2020-05-21,16:12:09,jarvis : jarvis here
2020-05-21,16:12:12,jarvis : What would you like me to do for you?
2020-05-21,16:12:20,user : show conversation
2020-05-21,16:22:53,jarvis : Good Afternoon
2020-05-21,16:22:55,jarvis : jarvis here
2020-05-21,16:22:58,jarvis : What would you like me to do for you?
2020-05-21,16:23:03,user : show conversation
2020-05-21,16:24:16,jarvis : Good Afternoon
2020-05-21,16:24:17,jarvis : jarvis here
2020-05-21,16:24:20,jarvis : What would you like me to do for you?
2020-05-21,16:24:51,user : so conversation conversation
2020-05-21,16:25:30,jarvis : Good Afternoon
2020-05-21,16:25:32,jarvis : jarvis here
2020-05-21,16:25:35,jarvis : What would you like me to do for you?
2020-05-21,16:26:05,user : conversation
2020-05-21,16:27:33,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:27:43,jarvis : Good Afternoon
2020-05-21,16:27:44,jarvis : jarvis here
2020-05-21,16:27:48,jarvis : What would you like me to do for you?
2020-05-21,16:28:02,user : conversation
2020-05-21,16:28:47,jarvis : Good Afternoon
2020-05-21,16:28:49,jarvis : jarvis here
2020-05-21,16:28:52,jarvis : What would you like me to do for you?
2020-05-21,16:28:59,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:29:06,jarvis : conversation
2020-05-21,16:29:28,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:29:33,temperature is thirty-two
2020-05-21,16:36:04,jarvis : Good Afternoon
2020-05-21,16:36:06,jarvis : jarvis here
2020-05-21,16:36:09,jarvis : What would you like me to do for you?
2020-05-21,16:37:07,jarvis : Good Afternoon
2020-05-21,16:37:09,jarvis : jarvis here
2020-05-21,16:37:12,jarvis : What would you like me to do for you?
2020-05-21,16:38:12,jarvis : Good Afternoon
2020-05-21,16:38:13,jarvis : jarvis here
2020-05-21,16:38:16,jarvis : What would you like me to do for you?
2020-05-21,16:41:43,jarvis : Good Afternoon
2020-05-21,16:41:45,jarvis : jarvis here
2020-05-21,16:41:48,jarvis : What would you like me to do for you?
2020-05-21,16:42:07,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:42:22,jarvis : that is it
2020-05-21,16:42:25,jarvis : Alright. Have a nice day
2020-05-21,16:46:43,jarvis : Good Afternoon
2020-05-21,16:46:45,jarvis : jarvis here
2020-05-21,16:46:48,jarvis : What would you like me to do for you?
2020-05-21,16:46:57,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:48:00,jarvis : Good Afternoon
2020-05-21,16:48:01,jarvis : jarvis here
2020-05-21,16:48:04,jarvis : What would you like me to do for you?
2020-05-21,16:48:14,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,16:50:07,jarvis : conversation
2020-05-21,16:51:21,jarvis : Good Afternoon
2020-05-21,16:51:23,jarvis : jarvis here
2020-05-21,16:51:26,jarvis : What would you like me to do for you?
2020-05-21,16:51:29,user : play buttons
2020-05-21,16:51:34,user : Koi Bole Raja
2020-05-21,16:51:42,temperature is thirty-two
2020-05-21,16:51:49,user : calculator calculator
2020-05-21,16:51:57,user : usko Aise to bolenge Tu Bhi Karega
2020-05-21,16:52:07,user : game
2020-05-21,16:52:13,user : different combine nahin kiya hun main
2020-05-21,16:52:18,user : weather alathur
2020-05-21,16:52:27,user : kahan hai tera
2020-05-21,16:52:37,user : lekin yah sab band kar diya hai
2020-05-21,16:52:41,user : Avengers 2
2020-05-21,16:52:49,user : aur sab Bata diya hai bhai 22 temperature
2020-05-21,16:52:52,temperature is thirty-two
2020-05-21,16:52:54,temperature is thirty-two
2020-05-21,16:52:54,
2020-05-21,16:52:57,temperature is thirty-two
2020-05-21,16:53:00,temperature is thirty-two
2020-05-21,16:53:00,
2020-05-21,16:53:00,jarvisNone
2020-05-21,16:56:34,jarvis : Good Afternoon
2020-05-21,16:56:35,jarvis : jarvis here
2020-05-21,16:56:38,jarvis : What would you like me to do for you?
2020-05-21,16:56:45,user : play on YouTube
2020-05-21,16:56:48,jarvis : What should I look up for ?
2020-05-21,16:56:54,user : GTA V
2020-05-21,17:01:50,jarvis : Good Evening
2020-05-21,17:01:52,jarvis : jarvis here
2020-05-21,17:01:55,jarvis : What would you like me to do for you?
2020-05-21,17:02:45,jarvis : Good Evening
2020-05-21,17:02:47,jarvis : jarvis here
2020-05-21,17:02:50,jarvis : What would you like me to do for you?
2020-05-21,17:02:55,user : play on YouTube
2020-05-21,17:02:57,jarvis : What should I look up for ?
2020-05-21,17:03:02,user : GTA V
2020-05-21,17:03:02,http://www.youtube.com/results?search_query=GTA+V
2020-05-21,17:03:06,jarvis : Here's what you asked for. Enjoy
2020-05-21,17:03:15,user : asarganj Khas Nahin ho raha tha isliye change kiya usko
2020-05-21,17:03:20,user : acche se baat nahin Ho
2020-05-21,17:03:25,user : Thana
2020-05-21,17:03:30,user : ulta pulta ho gaya tha
2020-05-21,17:03:33,user : hai kya
2020-05-21,17:03:39,user : Jo kaam karta hai
2020-05-21,17:03:48,user : tell a joke
2020-05-21,17:03:52,jarvis : Okay. Here's one
2020-05-21,17:03:58,"jarvis : I knew a guy who collected candy canes, they were all in mint condition"
2020-05-21,17:04:08,user : what is the temperature
2020-05-21,17:04:10,temperature is thirty-two
2020-05-21,17:04:13,temperature is thirty-two
2020-05-21,17:04:13,
2020-05-21,17:04:15,temperature is thirty-two
2020-05-21,17:04:18,temperature is thirty-two
2020-05-21,17:04:18,
2020-05-21,17:04:18,jarvisNone
2020-05-21,17:04:27,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,17:05:59,jarvis : Good Evening
2020-05-21,17:06:00,jarvis : jarvis here
2020-05-21,17:06:04,jarvis : What would you like me to do for you?
2020-05-21,17:06:17,user : open Word open Word
2020-05-21,17:06:31,jarvis : Successfully opened word
2020-05-21,17:06:44,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,17:09:45,jarvis : Good Evening
2020-05-21,17:09:47,jarvis : jarvis here
2020-05-21,17:09:50,jarvis : What would you like me to do for you?
2020-05-21,17:09:58,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,17:10:50,jarvis : Good Evening
2020-05-21,17:10:52,jarvis : jarvis here
2020-05-21,17:10:55,jarvis : What would you like me to do for you?
2020-05-21,17:11:15,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,17:11:28,jarvis : None
2020-05-21,17:21:47,jarvis : Good Evening
2020-05-21,17:21:49,jarvis : jarvis here
2020-05-21,17:21:52,jarvis : What would you like me to do for you?
2020-05-21,17:24:34,jarvis : Good Evening
2020-05-21,17:24:36,jarvis : jarvis here
2020-05-21,17:24:39,jarvis : What would you like me to do for you?
2020-05-21,17:24:44,user : that would be all
2020-05-21,17:24:47,jarvis : Alright. Have a nice day
2020-05-21,17:25:30,jarvis : Good Evening
2020-05-21,17:25:31,jarvis : jarvis here
2020-05-21,17:25:34,jarvis : What would you like me to do for you?
2020-05-21,17:25:46,jarvis : Sorry ! I did not get that. Could you please type it out ?
2020-05-21,17:26:02,jarvis : that is it
2020-05-21,17:26:05,jarvis : Alright. Have a nice day
2020-07-02,13:48:22,temperature is twenty-seven
2020-07-02,16:58:19,jarvis : Good Afternoon
2020-07-02,16:58:21,jarvis : jarvis here
2020-07-02,16:58:25,jarvis : What would you like me to do for you?
